Train,Test,LR_Acc,LR_Precision,LR_Recall,LR_F,SVM_Acc,SVM_Precision,SVM_Recall,SVM_F,NB_Acc,NB_Precision,NB_Recall,NB_F,CNN_Acc,CNN_Precision,CNN_Recall,CNN_F,LSTM_Acc,LSTM_Precision,LSTM_Recall,LSTM_F,GRU_Acc,GRU_Precision,GRU_Recall,GRU_F
200,20,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.4,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
400,40,0.55,0.55,0.55,0.55,0.6,0.6,0.6,0.6,0.55,0.55,0.55,0.55,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
600,60,0.566666667,0.566666667,0.566666667,0.566666667,0.6,0.6,0.6,0.6,0.533333333,0.533333333,0.533333333,0.533333333,0.5,0.5,0.5,0.5,0.433333333,0.433333333,0.433333333,0.433333333,0.433333333,0.433333333,0.433333333,0.433333333
50000,5000,0.6792,0.6792,0.6792,0.6792,0.6682,0.6682,0.6682,0.6682,0.6422,0.6422,0.6422,0.6422,0.6682,0.6682,0.6682,0.6682,0.6076,0.6076,0.6076,0.6076,0.6626,0.6626,0.6626,0.6626
100000,10000,0.6811,0.6811,0.6811,0.6811,0.6742,0.6742,0.6742,0.6742,0.6491,0.6491,0.6491,0.6491,0.6861,0.6861,0.6861,0.6861,0.6596,0.6596,0.6596,0.6596,0.6856,0.6856,0.6856,0.6856
150000,15000,0.681733333,0.681733333,0.681733333,0.681733333,0.678733333,0.678733333,0.678733333,0.678733333,0.646133333,0.646133333,0.646133333,0.646133333,0.6904,0.6904,0.6904,0.6904,0.676066667,0.676066667,0.676066667,0.676066667,0.6952,0.6952,0.6952,0.6952
200000,20000,0.6853,0.6853,0.6853,0.6853,0.68195,0.68195,0.68195,0.68195,0.64355,0.64355,0.64355,0.64355,0.6959,0.6959,0.6959,0.6959,0.6847,0.6847,0.6847,0.6847,0.69615,0.69615,0.69615,0.69615
250000,25000,0.68564,0.68564,0.68564,0.68564,0.68308,0.68308,0.68308,0.68308,0.6472,0.6472,0.6472,0.6472,0.69292,0.69292,0.69292,0.69292,0.69644,0.69644,0.69644,0.69644,0.705,0.705,0.705,0.705
300000,30000,0.6856,0.6856,0.6856,0.6856,0.6824,0.6824,0.6824,0.6824,0.647033333,0.647033333,0.647033333,0.647033333,0.701266667,0.701266667,0.701266667,0.701266667,0.701466667,0.701466667,0.701466667,0.701466667,0.7068,0.7068,0.7068,0.7068
350000,35000,0.6858,0.6858,0.6858,0.6858,0.685114286,0.685114286,0.685114286,0.685114286,0.648,0.648,0.648,0.648,0.699714286,0.699714286,0.699714286,0.699714286,0.706085714,0.706085714,0.706085714,0.706085714,0.7112,0.7112,0.7112,0.7112
400000,40000,0.68915,0.68915,0.68915,0.68915,0.68805,0.68805,0.68805,0.68805,0.650375,0.650375,0.650375,0.650375,0.70715,0.70715,0.70715,0.70715,0.70835,0.70835,0.70835,0.70835,0.7141,0.7141,0.7141,0.7141
450000,45000,0.689666667,0.689666667,0.689666667,0.689666667,0.687844444,0.687844444,0.687844444,0.687844444,0.649244444,0.649244444,0.649244444,0.649244444,0.707266667,0.707266667,0.707266667,0.707266667,0.7174,0.7174,0.7174,0.7174,0.719866667,0.719866667,0.719866667,0.719866667
500000,50000,0.69108,0.69108,0.69108,0.69108,0.68928,0.68928,0.68928,0.68928,0.65038,0.65038,0.65038,0.65038,0.70664,0.70664,0.70664,0.70664,0.71838,0.71838,0.71838,0.71838,0.72402,0.72402,0.72402,0.72402
550000,55000,0.690709091,0.690709091,0.690709091,0.690709091,0.689836364,0.689836364,0.689836364,0.689836364,0.650272727,0.650272727,0.650272727,0.650272727,0.702327273,0.702327273,0.702327273,0.702327273,0.719818182,0.719818182,0.719818182,0.719818182,0.724981818,0.724981818,0.724981818,0.724981818
600000,60000,0.6907,0.6907,0.6907,0.6907,0.689616667,0.689616667,0.689616667,0.689616667,0.651816667,0.651816667,0.651816667,0.651816667,0.702466667,0.702466667,0.702466667,0.702466667,0.72435,0.72435,0.72435,0.72435,0.726233333,0.726233333,0.726233333,0.726233333
